schoolId,schoolName,status,failureStage,officialWebsite,candidateSourcePages,currentUnitCount,lastAttemptAt,attempts,error,recommendedAction
school-libbbf,浙江财经大学,pending-review,academic-unit-page-discovery,https://www.zufe.edu.cn/,,0,2026-07-13T14:16:21.660Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-19js9tt,西湖大学,pending-review,website-discovery,,,0,2026-07-13T14:17:35.805Z,1,title contains school name,补充学校官网或官方院系页
school-1jkaaqv,宁波诺丁汉大学,pending-review,academic-unit-page-discovery,https://www.nottingham.edu.cn/,,0,2026-07-13T14:17:52.750Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-dbveae,安徽大学,source-not-found,website-discovery,,,0,2026-07-13T14:18:50.210Z,1,title contains school name,补充学校官网或官方院系页
school-io6gqc,中国科学技术大学,pending,validate,https://www.ustc.edu.cn/,https://www.teach.ustc.edu.cn/education/239.html,0,2026-07-13T14:19:15.357Z,1,单校抓取结果数量异常：0,继续自动抓取或人工复核
school-y9sjg8,蚌埠医科大学,pending,validate,https://www.bbmu.edu.cn/,https://www.bbmu.edu.cn/zzjg.htm,0,2026-07-13T14:22:11.039Z,1,单校抓取结果数量异常：1,继续自动抓取或人工复核
school-1lxlzyv,皖南医学院,parse-failed,academic-unit-page-discovery,https://career.muc.edu.cn/,,0,2026-07-13T14:22:41.574Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-i6nbr9,安徽财经大学,source-not-found,website-discovery,,,0,2026-07-13T14:23:49.144Z,1,title contains school name,补充学校官网或官方院系页
school-myt8sg,福建农林大学,pending-review,academic-unit-page-discovery,https://www.fafu.edu.cn/,,0,2026-07-13T14:26:24.546Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-nixfcg,集美大学,source-not-found,website-discovery,,,0,2026-07-13T14:27:14.680Z,1,title contains school name,补充学校官网或官方院系页
school-bu6vjp,福建医科大学,parse-failed,academic-unit-page-discovery,https://www.fjmu.edu.cn/,,0,2026-07-13T14:27:17.472Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-k6o4og,福建中医药大学,source-not-found,website-discovery,,,0,2026-07-13T14:28:03.469Z,1,title contains school name,补充学校官网或官方院系页
school-xbe987,南昌大学,pending-review,academic-unit-page-discovery,https://ncuky.edu.cn/,,0,2026-07-13T14:30:09.142Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-dc5r38,华东交通大学,pending-review,academic-unit-page-discovery,https://www.ecjtu.edu.cn/,,0,2026-07-13T14:30:25.561Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-srbnqm,景德镇陶瓷大学,source-not-found,website-discovery,,,0,2026-07-13T14:33:08.411Z,1,homepage contains university navigation links,补充学校官网或官方院系页
school-cn8cf3,江西师范大学,source-not-found,website-discovery,,,0,2026-07-13T14:34:45.514Z,1,title contains school name,补充学校官网或官方院系页
school-glth1n,济南大学,pending,validate,https://www.ujn.edu.cn/,https://www.ujn.edu.cn/xxgk/zzjg.htm,0,2026-07-13T14:37:24.406Z,1,单校抓取结果数量异常：1,继续自动抓取或人工复核
school-2ntotq,青岛理工大学,pending-review,academic-unit-page-discovery,https://www.qut.edu.cn/,,0,2026-07-13T14:37:49.665Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-tilyy0,山东建筑大学,pending-review,academic-unit-page-discovery,https://www.sdjzu.edu.cn/,,0,2026-07-13T14:38:05.848Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-775myo,齐鲁工业大学,pending-review,academic-unit-page-discovery,https://www.qlu.edu.cn/,,0,2026-07-13T14:38:42.913Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1e720qd,山东第一医科大学,source-not-found,website-discovery,,,0,2026-07-13T14:40:26.200Z,1,search title indicates official site,补充学校官网或官方院系页
school-au24tz,曲阜师范大学,source-not-found,website-discovery,,,0,2026-07-13T14:41:49.321Z,1,search title indicates official site,补充学校官网或官方院系页
school-1rla9s4,聊城大学,pending-review,academic-unit-page-discovery,https://www.lcudcc.edu.cn/,,0,2026-07-13T14:42:12.165Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1sin8qf,华北水利水电大学,source-not-found,website-discovery,,,0,2026-07-13T14:44:08.291Z,1,copyright text exists,补充学校官网或官方院系页
school-1kr9kbb,河南科技大学,pending-review,academic-unit-page-discovery,https://10464.gaokao.haedu.cn/,,0,2026-07-13T14:46:38.703Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1un1456,河南大学,source-not-found,website-discovery,,,0,2026-07-13T14:48:50.234Z,1,title contains school name,补充学校官网或官方院系页
school-2gzcxl,河南财经政法大学,pending-review,academic-unit-page-discovery,https://www.huel.edu.cn/,,0,2026-07-13T14:49:46.605Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1vzfey1,武汉大学,source-not-found,website-discovery,,,0,2026-07-13T14:49:56.969Z,1,search title indicates official site,补充学校官网或官方院系页
school-dry7q,武汉纺织大学,pending-review,academic-unit-page-discovery,https://jwc.wtu.edu.cn/,,0,2026-07-13T14:52:48.309Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-h2q1kw,武汉理工大学,source-not-found,website-discovery,,,0,2026-07-13T14:53:59.483Z,1,third-party candidate rejected,补充学校官网或官方院系页
school-1ntuifj,华中农业大学,source-not-found,website-discovery,,,0,2026-07-13T14:55:11.009Z,1,search title indicates official site,补充学校官网或官方院系页
school-wj53lf,湖北大学,crawl-failed,,https://xxgk.hubu.edu.cn/,https://xxgk.hubu.edu.cn/jbxx/bxjbqk/xxjgsz/bsjg.htm,0,2026-07-13T14:56:38.023Z,4,HTTP 403,检查官方页面访问或网络错误
school-9x705,武汉体育学院,pending-review,academic-unit-page-discovery,https://zs.whsu.edu.cn/,,0,2026-07-13T14:57:21.180Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1j85txm,三峡大学,pending-review,academic-unit-page-discovery,https://www.ctgu.edu.cn/,,0,2026-07-13T14:59:05.738Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1cil2h3,湘潭大学,source-not-found,website-discovery,,,0,2026-07-13T14:59:05.068Z,1,title contains school name,补充学校官网或官方院系页
school-1xbt5mn,吉首大学,source-not-found,website-discovery,,,0,2026-07-13T16:19:34.741Z,1,fetch failed,补充学校官网或官方院系页
school-hqoks3,湖南大学,source-not-found,website-discovery,,,0,2026-07-13T16:19:35.019Z,1,fetch failed,补充学校官网或官方院系页
school-m1tv2w,中南大学,source-not-found,website-discovery,,,0,2026-07-14T01:17:02.218Z,1,fetch failed,补充学校官网或官方院系页
school-1xyx0ou,湖南科技大学,source-not-found,website-discovery,,,0,2026-07-14T01:17:05.048Z,1,fetch failed,补充学校官网或官方院系页
school-cpzje5,长沙理工大学,source-not-found,website-discovery,,,0,2026-07-14T01:17:39.310Z,1,fetch failed,补充学校官网或官方院系页
school-hykzw1,湖南农业大学,source-not-found,website-discovery,,,0,2026-07-14T01:17:41.636Z,1,fetch failed,补充学校官网或官方院系页
school-t3a874,中南林业科技大学,source-not-found,website-discovery,,,0,2026-07-14T01:18:50.196Z,1,title contains school name,补充学校官网或官方院系页
school-12pzut2,华南理工大学,pending-review,website-discovery,,,0,2026-07-14T01:22:45.737Z,1,body contains school name,补充学校官网或官方院系页
school-1q4if0c,广州中医药大学,pending-review,academic-unit-page-discovery,https://www.gzucm.edu.cn/,,0,2026-07-14T01:25:22.008Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1ezbwmf,广东药科大学,source-not-found,website-discovery,,,0,2026-07-14T01:25:13.189Z,1,third-party candidate rejected,补充学校官网或官方院系页
school-10jbnxn,广州美术学院,pending-review,academic-unit-page-discovery,https://www.gzarts.edu.cn/,,0,2026-07-14T01:26:25.181Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1pi1lr3,五邑大学,pending-review,academic-unit-page-discovery,https://www.wyu.edu.cn/,,0,2026-07-14T01:29:06.430Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-c5vepw,广东工业大学,pending-review,academic-unit-page-discovery,https://jwc.gdut.edu.cn/,,0,2026-07-14T01:30:28.010Z,1,未找到可靠院系目录页面。,核对候选院系列表或补充院系设置页
school-1ptugvg,佛山大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1k23k50,南方医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1tkb7hx,南方科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-ootfoe,广西大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-tosrab,桂林电子科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-m5dqd6,桂林理工大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1hr5bbq,广西医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-hftjil,广西中医药大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-mivrf,桂林医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1h4cke7,广西师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-hv8if8,广西艺术学院,pending,,,,0,,0,,继续自动抓取或人工复核
school-778iwm,广西民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1opijce,海南大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1tjosv,海南师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1do1r3a,海南医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1i4ev9v,重庆大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-zxkuw6,重庆邮电大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-eizztl,重庆交通大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1t0ho8f,重庆医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-753us6,西南大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-9en316,重庆师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1pl3kf2,四川外国语大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1l1jz06,西南政法大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1xeu7sy,四川美术学院,pending,,,,0,,0,,继续自动抓取或人工复核
school-1muerr1,陆军军医大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-q17i2o,四川大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-2o38og,西南交通大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1mor4gk,电子科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-87khou,西南石油大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-ydv5cq,成都理工大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1ou4pbn,西南科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-198bet3,成都信息工程大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-113v1vd,西华大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1ofmram,四川农业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1dd9tge,西南医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-asjpny,成都中医药大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1ua1dwl,四川师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-g450ws,西华师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-uoza9x,西南财经大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1jr8mcz,成都体育学院,pending,,,,0,,0,,继续自动抓取或人工复核
school-11gr1hy,四川音乐学院,pending,,,,0,,0,,继续自动抓取或人工复核
school-bft1jy,西南民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-oimyf3,成都大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1swdbc3,贵州大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-u1bxfj,贵州医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-19gq5y6,遵义医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-xupvsq,贵州中医药大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1r5y7sa,贵州师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-11a3ylf,贵州民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-izbscs,云南大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-17360p9,昆明理工大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-lizkma,云南农业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-qbxcj7,西南林业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1h1zy7w,昆明医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-xbo68v,云南中医药大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-ff1r35,云南师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1xrqbaj,云南财经大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-yekis8,云南民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-inl76f,西藏农牧大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-ohpgsu,西藏大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-11l0chy,西藏民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-oqjo46,西北大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1lm9q4m,西安交通大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-cp7kl5,西北工业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-9eva4d,西安理工大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-dnuqc,西安电子科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1pgp0d3,西安工业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1cxgde0,西安建筑科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1358mu5,西安科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-2nexx8,西安石油大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-f5i1cl,陕西科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-5k2v64,西安工程大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-rizduo,长安大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-16p6aa2,西北农林科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-lo8z83,陕西中医药大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-69gcr1,陕西师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-15kh2m1,延安大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-pj9h8e,西安外国语大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-yqa5km,西北政法大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1ul2iua,西安美术学院,pending,,,,0,,0,,继续自动抓取或人工复核
school-130jy45,西安邮电大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-c9nryx,空军军医大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1hsl9ni,兰州大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-f2nign,兰州理工大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1athm7c,兰州交通大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-rbosav,甘肃农业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1vd5ufk,甘肃中医药大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-i3co4n,西北师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-rtetz1,兰州财经大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1ql60v2,西北民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-4g7zj,青海大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1moulty,青海师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1fkbmyf,青海民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-15zjadw,宁夏大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1997228,宁夏医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1llynvw,北方民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-17huh6u,新疆大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-105468q,塔里木大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1fbpn14,新疆农业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-ntp4dg,石河子大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1b99gni,新疆医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-9p26vr,新疆师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-16e9ca0,喀什大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1lh40vp,新疆财经大学,pending,,,,0,,0,,继续自动抓取或人工复核
